alt,en,es
😀,grinning,sonriendo
😃,grinning,sonriendo
😄,grinning,sonriendo
😁,beaming,radiante
😆,grinning,sonriendo
😅,grinning,sonriendo
🤣,laughing,riendo
😂,joy,alegría
🙂,smiling,sonriente
🙃,upside-down,al revés
😉,winking,parpadeo
😊,smiling,sonriente
😇,smiling,sonriente
😍,smiling,sonriente
🤩,star-struck,estrellado
😘,kiss,Beso
😗,kissing,besando
😚,kissing,besando
😙,kissing,besando
😋,food,comida
😛,tongue,lengua
😜,tongue,lengua
🤪,zany,loco
😝,tongue,lengua
🤑,money-mouth,dinero-boca
🤗,hugging,abrazándose
🤭,mouth,boca
🤫,shushing,callar
🤔,thinking,pensando
🤐,zipper-mouth,boca de cremallera
🤨,eyebrow,ceja
😐,neutral,neutral
😑,expressionless,inexpresivo
😶,without mouth,sin boca
😏,smirking,sonriendo
😒,unamused,aburrido
🙄,eyes,ojos
😬,grimacing,haciendo muecas
🤥,lying,acostado
😌,relieved,aliviado
😔,pensive,pensativo
😪,sleepy,soñoliento
🤤,drooling,babeando
😴,sleeping,dormido
🤒,thermometer,termómetro
🤕,head-bandage,vendaje de la cabeza
🤢,nauseated,náuseas
🤮,vomiting,vómitos
🤧,sneezing,estornudando
😵,dizzy,mareado
🤯,exploding,explotando
🤠,cowboy hat,sombrero de vaquero
😎,sunglasses,Gafas de sol
🤓,nerd,empollón
🧐,monocle,monóculo
😕,confused,confuso
😟,worried,preocupado
🙁,frowning,ceñudo
😮,with open mouth,con la boca abierta
😯,hushed,callado
😲,astonished,asombrado
😳,flushed,enrojecido
😦,open mouth,boca abierta
😧,anguished,angustiado
😨,fearful,temeroso
😰,anxious,ansioso
😥,sad,triste
😢,crying,llorando
😭,crying,llorando
😱,fear,miedo
😖,confounded,aturdido
😣,persevering,perseverante
😞,disappointed,decepcionado
😓,sweat,sudor
😩,weary,cansado
😫,tired,cansado
😤,nose,nariz
😡,angry,enojado
😠,angry,enojado
🤬,mouth,boca
😈,horns,cuerna
👿,horns,cuerna
💀,skull,cráneo
☠,skull,cráneo
💩,poo,poo
🤡,clown,payaso
👹,ogre,ogro
👺,goblin,duende
👻,ghost,fantasma
👽,alien,extraterrestre
👾,alien monster,monstruo alienígena
🤖,robot,robot
😺,grinning cat,gato sonriente
😸,grinning cat smiling eyes,sonriente ojos sonrientes gato
😹,cat joy,alegría de gato
😻,smiling cat heart-eyes,sonriente corazón de gato ojos
😼,cat wry smile,gato irónico sonrisa
😽,kissing cat,besando a gato
🙀,weary cat,gato cansado
😿,crying cat,gato llorando
😾,pouting cat,gato pucheros
🙈,see-no-evil monkey,mono no-malvado
🙉,hear-no-evil monkey,mono no-malvado
🙊,speak-no-evil monkey,mono de speak-no-evil
💋,kiss mark,marca de beso
💌,love letter,carta de amor
💘,heart arrow,flecha del corazón
💝,heart ribbon,cinta de corazón
💖,sparkling heart,corazón resplandeciente
💗,growing heart,corazón creciente
💓,beating heart,corazón palpitante
💞,revolving hearts,corazones giratorios
💕,two hearts,dos corazones
💟,heart decoration,decoración del corazón
❣,heavy heart exclamation,fuerte exclamación de corazón
💔,broken heart,corazón roto
❤,red heart,corazón rojo
🧡,orange heart,corazón naranja
💛,yellow heart,corazón amarillo
💚,green heart,corazón verde
💙,blue heart,corazón azul
💜,purple heart,corazón Purpura
🖤,heart,corazón
💯,hundred points,cien puntos
💢,anger,ira
💥,collision,colisión
💫,dizzy,mareado
💦,sweat droplets,gotas de sudor
💨,dashing away,corriendo lejos
🕳,hole,agujero
💣,bomb,bomba
💬,speech balloon,globo de discurso
👁️‍🗨️,eye in speech bubble,ojo en el bocadillo
🗨,left speech bubble,burbuja de discurso izquierda
🗯,right anger bubble,burbuja de ira derecha
💭,thought balloon,globo de pensamiento
💤,zzz,zzz
👋,waving hand,mano que saluda
🤚,raised back of hand,levantado de la mano
🖐,hand fingers splayed,dedos de la mano extendidos
✋,raised hand,mano levantada
🖖,vulcan salute,saludo vulcan
👌,OK hand,Mano OK
✌,victory hand,mano de victoria
🤞,crossed fingers,dedos cruzados
🤟,love-you gesture,gesto de amor-tu
🤘,sign of the horns,signo de los cuernos
🤙,call me hand,llámame mano
👈,backhand index pointing left,índice de revés apuntando hacia la izquierda
👉,backhand index pointing right,índice de revés apuntando a la derecha
👆,backhand index pointing up,índice de revés apuntando hacia arriba
🖕,middle finger,dedo medio
👇,backhand index pointing down,índice de revés apuntando hacia abajo
☝,index pointing up,índice apuntando hacia arriba
👍,thumbs up,Pulgares hacia arriba
👎,thumbs down,pulgares abajo
✊,raised fist,puño levantado
👊,oncoming fist,puño que se aproxima
🤛,left-facing fist,puño izquierdo
🤜,right-facing fist,puño derecho
👏,clapping hands,aplaudir
🙌,raising hands,levantando las manos
👐,open hands,manos abiertas
🤲,palms up together,palmas juntas
🤝,handshake,apretón de manos
🙏,folded hands,manos dobladas
✍,writing hand,escribiendo la mano
💅,nail polish,esmalte de uñas
🤳,selfie,selfie
💪,flexed biceps,bíceps flexionado
👂,ear,oreja
👃,nose,nariz
🧠,brain,cerebro
👀,eyes,ojos
👁,eye,ojo
👅,tongue,lengua
👄,mouth,boca
👶,baby,bebé
🧒,child,niño
👦,boy,chico
👧,girl,niña
🧑,person,persona
👱,person blond hair,persona rubia
🧔,man beard,hombre barba
👩,woman,mujer
👱‍♀️,woman blond hair,mujer rubia
🧓,older person,persona mayor
👴,old man,anciano
👵,old woman,anciana
🙎‍♂️,man pouting,hombre haciendo pucheros
🙎‍♀️,woman pouting,mujer haciendo pucheros
🙅,person gesturing NO,persona gesticulando NO
🙅‍♂️,man gesturing NO,hombre gesticulando NO
🙆,person gesturing OK,persona gesticulando OK
🙆‍♂️,man gesturing OK,hombre gesticulando OK
💁,person tipping hand,persona que da vueltas a la mano
💁‍♂️,man tipping hand,hombre inclinando la mano
🙋,person raising hand,persona levantando la mano
🙋‍♂️,man raising hand,hombre levantando la mano
🙇,person bowing,persona inclinada
🙇‍♂️,man bowing,hombre inclinado
🙇‍♀️,woman bowing,mujer inclinada
🤦‍♂️,manpalming,manpalming
🤦‍♀️,womanpalming,womanpalming
🤷‍♂️,man shrugging,hombre encogiéndose de hombros
🤷‍♀️,woman shrugging,mujer encogiéndose de hombros
👨‍⚕️,man health worker,hombre trabajador de salud
👩‍⚕️,woman health worker,trabajadora de la salud
👨‍🎓,man student,estudiante hombre
👩‍🎓,woman student,estudiante de mujer
👨‍🏫,man teacher,hombre maestro
👩‍🏫,woman teacher,profesora
👨‍⚖️,man judge,hombre juez
👩‍⚖️,woman judge,juez mujer
👨‍🌾,man farmer,hombre agricultor
👩‍🌾,woman farmer,mujer agricultora
👨‍🍳,man cook,hombre cocinero
👩‍🍳,woman cook,cocinera
👨‍🔧,man mechanic,hombre mecánico
👩‍🔧,woman mechanic,mecánico mujer
👨‍🏭,man factory worker,hombre obrero
👩‍🏭,woman factory worker,mujer trabajadora
👨‍💼,man office worker,hombre oficinista
👩‍💼,woman office worker,oficinista
👨‍🔬,man scientist,hombre científico
👩‍🔬,woman scientist,mujer científica
👨‍💻,man technologist,tecnólogo hombre
👩‍💻,woman technologist,tecnóloga mujer
👨‍🎤,man singer,hombre cantante
👩‍🎤,woman singer,mujer cantante
👨‍🎨,man artist,artista hombre
👩‍🎨,woman artist,mujer artista
👨‍✈️,man pilot,hombre piloto
👩‍✈️,woman pilot,mujer piloto
👨‍🚀,man astronaut,hombre astronauta
👩‍🚀,woman astronaut,mujer astronauta
👨‍🚒,man firefighter,hombre bombero
👩‍🚒,woman firefighter,bombero de mujer
👮‍♂️,man police officer,hombre
👮‍♀️,woman police officer,mujer policía
🕵️‍♂️,man detective,hombre detective
🕵️‍♀️,woman detective,mujer detective
💂‍♂️,man guard,hombre guardia
💂‍♀️,woman guard,mujer guardia
👷‍♂️,man construction worker,hombre trabajador de la construcción
👷‍♀️,woman construction worker,trabajador de la construcción de mujer
🤴,prince,Príncipe
👸,princess,princesa
👳‍♂️,man wearing turban,hombre con turbante
👳‍♀️,woman wearing turban,mujer con turbante
👲,man Chinese cap,hombre gorra china
🧕,woman headscarf,pañuelo de mujer
🤵,man in tuxedo,hombre en esmoquin
👰,bride veil,velo de novia
🤰,pregnant woman,mujer embarazada
🤱,breast-feeding,amamantamiento
👼,baby angel,Ángel bebé
🎅,Santa Claus,Papá Noel
🤶,Mrs. Claus,Sra. Claus
🧙‍♂️,man mage,hombre mago
🧙‍♀️,woman mage,mago mujer
🧚‍♂️,man fairy,hombre hada
🧚‍♀️,woman fairy,mujer hada
🧛‍♂️,man vampire,hombre vampiro
🧛‍♀️,woman vampire,mujer vampiro
🧜‍♂️,merman,tritón
🧜‍♀️,mermaid,sirena
🧝‍♂️,man elf,hombre elfo
🧝‍♀️,woman elf,mujer duende
🧞‍♂️,man genie,genio del hombre
🧞‍♀️,woman genie,genio de la mujer
🧟‍♂️,man zombie,hombre zombie
🧟‍♀️,woman zombie,mujer zombie
💆‍♂️,man getting massage,hombre recibiendo masaje
💆‍♀️,woman getting massage,mujer recibiendo masaje
💇‍♂️,man haircut,hombre cabello
💇‍♀️,woman haircut,mujer cabello
🚶‍♂️,man walking,hombre caminando
🚶‍♀️,woman walking,mujer caminando
🏃‍♂️,man running,hombre corriendo
🏃‍♀️,woman running,mujer corriendo
💃,woman dancing,mujer bailando
🕺,man dancing,hombre bailando
🕴,man in suit levitating,hombre en traje levitando
👯‍♂️,men bunny ears,orejas de conejo hombres
👯‍♀️,women bunny ears,orejas de conejo de mujer
🧖‍♂️,man in steamy room,hombre en la habitación de vapor
🧖‍♀️,woman in steamy room,mujer en habitación humeante
🧗‍♂️,man climbing,hombre escalando
🧗‍♀️,woman climbing,mujer escalada
🤺,person fencing,esgrima
🏇,horse racing,las carreras de caballos
⛷,skier,esquiador
🏂,snowboarder,snowboarder
🏌️‍♂️,man golfing,hombre jugando golf
🏌️‍♀️,woman golfing,mujer jugando al golf
🏄‍♂️,man surfing,hombre surf
🏄‍♀️,woman surfing,mujer surf
🚣‍♂️,man rowing boat,hombre
🚣‍♀️,woman rowing boat,mujer
🏊‍♂️,man swimming,hombre nadando
🏊‍♀️,woman swimming,mujer nadando
⛹️‍♂️,man bouncing ball,hombre que rebota la pelota
⛹️‍♀️,woman bouncing ball,pelota que despide mujer
🏋️‍♂️,man lifting weights,hombre levantando pesas
🏋️‍♀️,woman lifting weights,mujer levantando pesas
🚴‍♂️,man biking,hombre en bicicleta
🚴‍♀️,woman biking,mujer en bicicleta
🚵‍♂️,man mountain biking,hombre ciclismo de montaña
🚵‍♀️,woman mountain biking,mujer en bicicleta de montaña
🤸‍♂️,man cartwheeling,hombre voltereta
🤸‍♀️,woman cartwheeling,mujer voltereta
🤼‍♂️,men wrestling,hombres luchando
🤼‍♀️,women wrestling,mujeres luchando
🤽‍♂️,man playing water polo,hombre jugando waterpolo
🤽‍♀️,woman playing water polo,mujer jugando waterpolo
🤾‍♂️,man playing handball,hombre jugando balonmano
🤾‍♀️,woman playing handball,mujer jugando balonmano
🤹‍♂️,man juggling,hombre haciendo malabares
🤹‍♀️,woman juggling,mujer malabares
🧘‍♂️,man in lotus position,hombre en posición de loto
🧘‍♀️,woman in lotus position,mujer en posición de loto
🛀,person taking bath,baño de toma de persona
🛌,person in bed,persona en la cama
👫,man and woman holding hands,hombre y mujer tomados de la mano
👬,two men holding hands,dos hombres tomados de la mano
👭,two women holding hands,dos mujeres tomados de la mano
👩‍❤️‍💋‍👨,"kiss woman, man",besar mujer
👨‍❤️‍💋‍👨,"kiss man, man",besar hombre
👩‍❤️‍💋‍👩,"kiss woman, woman",beso mujer
👨‍👩‍👦,"family man, woman, boy",hombre de familia
👨‍👩‍👧,"family man, woman, girl",hombre de familia
👨‍👩‍👧‍👦,"family man, woman, girl, boy",hombre de familia
👨‍👩‍👦‍👦,"family man, woman, boy, boy",hombre de familia
👨‍👩‍👧‍👧,"family man, woman, girl, girl",hombre de familia
👨‍👨‍👦,"family man, man, boy",hombre de familia
👨‍👨‍👧,"family man, man, girl",hombre de familia
👨‍👨‍👧‍👦,"family man, man, girl, boy",hombre de familia
👨‍👨‍👦‍👦,"family man, man, boy, boy",hombre de familia
👨‍👨‍👧‍👧,"family man, man, girl, girl",hombre de familia
👩‍👩‍👦,"family woman, woman, boy",mujer de familia
👩‍👩‍👧,"family woman, woman, girl",mujer de familia
👩‍👩‍👧‍👦,"family woman, woman, girl, boy",familia mujer
👩‍👩‍👦‍👦,"family woman, woman, boy, boy",mujer de familia
👩‍👩‍👧‍👧,"family woman, woman, girl, girl",mujer de familia
👨‍👦,"family man, boy",hombre de familia
👨‍👦‍👦,"family man, boy, boy",hombre de familia
👨‍👧,"family man, girl",hombre de familia
👨‍👧‍👦,"family man, girl, boy",hombre de familia
👨‍👧‍👧,"family man, girl, girl",hombre de familia
👩‍👦,"family woman, boy",mujer de familia
👩‍👦‍👦,"family woman, boy, boy",mujer de familia
👩‍👧,"family woman, girl",mujer de familia
👩‍👧‍👦,"family woman, girl, boy",mujer de familia
👩‍👧‍👧,"family woman, girl, girl",mujer de familia
🗣,speaking head,hablando de cabeza
👤,bust in silhouette,busto en silueta
👥,busts in silhouette,bustos en silueta
👣,footprints,huellas
🐵,monkey,mono
🐒,monkey,mono
🦍,gorilla,gorila
🐶,dog,perro
🐕,dog,perro
🐩,poodle,caniche
🐺,wolf,lobo
🦊,fox,zorro
🐱,cat,gato
🐈,cat,gato
🦁,lion,león
🐯,tiger,Tigre
🐅,tiger,Tigre
🐆,leopard,leopardo
🐴,horse,caballo
🐎,horse,caballo
🦄,unicorn,unicornio
🦓,zebra,cebra
🦌,deer,ciervo
🐮,cow,vaca
🐂,ox,buey
🐃,buffalo,búfalo
🐄,cow,vaca
🐷,pig,cerdo
🐖,pig,cerdo
🐗,boar,Jabali
🐽,pig nose,nariz de cerdo
🐏,ram,RAM
🐑,ewe,oveja
🐐,goat,cabra
🐪,camel,camello
🐫,two-hump camel,camello de dos jorobas
🦒,giraffe,jirafa
🐘,elephant,elefante
🦏,rhinoceros,rinoceronte
🐭,mouse,ratón
🐁,mouse,ratón
🐀,rat,rata
🐹,hamster,hámster
🐰,rabbit,Conejo
🐇,rabbit,Conejo
🐿,chipmunk,ardilla
🦔,hedgehog,erizo
🦇,bat,murciélago
🐻,bear,oso
🐨,koala,coala
🐼,panda,panda
🐾,paw prints,huellas de garras
🦃,turkey,Turquía
🐔,chicken,pollo
🐓,rooster,gallo
🐣,hatching chick,polluelo de eclosión
🐤,baby chick,pollito
🐥,baby chick,pollito
🐦,bird,pájaro
🐧,penguin,pingüino
🕊,dove,paloma
🦅,eagle,águila
🦆,duck,pato
🦉,owl,búho
🐸,frog,rana
🐊,crocodile,cocodrilo
🐢,turtle,Tortuga
🦎,lizard,lagartija
🐍,snake,serpiente
🐲,dragon,continuar
🐉,dragon,continuar
🦕,sauropod,saurópodo
🦖,T-Rex,Tirano saurio Rex
🐳,spouting whale,escupiendo ballena
🐋,whale,ballena
🐬,dolphin,delfín
🐟,fish,pescado
🐠,tropical fish,pez tropical
🐡,blowfish,pez globo
🦈,shark,tiburón
🐙,octopus,pulpo
🐚,spiral shell,concha espiral
🐌,snail,caracol
🦋,butterfly,mariposa
🐛,bug,error
🐜,ant,hormiga
🐝,honeybee,abeja
🐞,lady beetle,escarabajo dama
🦗,cricket,Grillo
🕷,spider,araña
🕸,spider web,telaraña
🦂,scorpion,escorpión
💐,bouquet,ramo
🌸,cherry blossom,flor de cerezo
🏵,rosette,rosetón
🌹,rose,Rosa
🥀,wilted flower,flor marchita
🌺,hibiscus,hibisco
🌻,sunflower,girasol
🌼,blossom,flor
🌷,tulip,tulipán
🌱,seedling,planta de semillero
🌲,evergreen tree,árbol de hoja perenne
🌳,deciduous tree,árbol caducifolio
🌴,palm tree,palmera
🌵,cactus,cactus
🌾,sheaf of rice,gavilla de arroz
🌿,herb,hierba
☘,shamrock,trébol
🍀,four leaf clover,trébol de cuatro hojas
🍁,maple leaf,hoja de arce
🍂,arbol,arbol
🍃,leaf fluttering in wind,hoja revoloteando en el viento
🍇,grapes,uvas
🍈,melon,melón
🍉,watermelon,sandía
🍊,tangerine,Mandarina
🍋,lemon,limón
🍌,banana,plátano
🍍,pineapple,piña
🍎,red apple,manzana roja
🍏,green apple,manzana verde
🍐,pear,Pera
🍑,peach,melocotón
🍒,cherries,guindas
🍓,strawberry,fresa
🥝,kiwi fruit,kiwi
🍅,tomato,tomate
🥥,coconut,Coco
🥑,avocado,aguacate
🍆,eggplant,berenjena
🥔,potato,patata
🥕,carrot,Zanahoria
🌽,ear of corn,mazorca de maíz
🌶,hot pepper,guindilla
🥒,cucumber,Pepino
🥦,broccoli,brócoli
🍄,mushroom,seta
🥜,peanuts,miseria
